time,x_mm,y_mm,z_mm,u1,v1,u2,v2,r1,r2,a1,a2
2026-01-15T14:08:29,228.18,-30.2716,593.431,785.254,903.802,233.027,875.262,0,0,11776,9984
2026-01-15T14:08:30,227.373,-30.6577,592.954,784.113,903.203,232.135,874.656,0,0,11648,9500
2026-01-15T14:08:31,226.993,-28.8529,595.006,782.738,906.277,231.448,877.656,0,0,11739,9728
2026-01-15T14:08:32,173.799,-21.8937,595.742,705.462,920.363,159.992,890.5,0,0,20636,10792
2026-01-15T14:08:35,320.376,62.7454,669.975,904.804,1029.64,321.95,1006.28,0,0,9794,12445
2026-01-15T14:08:36,319.631,62.4075,670.078,903.907,1029.21,320.887,1006.47,0,0,9794,14017
2026-01-15T14:08:37,319.186,61.9444,669.437,903.342,1028.75,320.637,1005.16,0,0,9676,12314
2026-01-15T14:08:38,319.074,62.2327,669.742,902.831,1029.15,320.742,1005.54,0,0,9794,12314
2026-01-15T14:08:39,318.684,62.8815,670.062,902.404,1029.96,319.918,1006.37,0,0,9711,12314
2026-01-15T14:08:40,318.879,63.3525,670.311,902.542,1030.55,320.138,1006.87,0,0,9594,12090
2026-01-15T14:08:41,318.862,63.2128,670.296,902.558,1030.36,320.098,1006.83,0,0,9758,12220
2026-01-15T14:08:42,318.875,63.3655,670.461,902.361,1030.56,320.269,1007.03,0,0,9794,12090
2026-01-15T14:08:43,324.22,65.7149,666.869,920.344,1031.93,315.597,1008.79,0,0,10492,13563
2026-01-15T14:08:56,261.864,66.303,614.848,953.321,1005.93,131.707,975.287,0,0,17920,18327
2026-01-15T14:09:03,203.605,80.7264,625.693,867.07,1024.57,61.9248,986.68,0,0,18236,16262
2026-01-15T14:09:03,230.872,74.9086,622.82,904.954,1017.99,96.61,983.771,0,0,17385,17184
2026-01-15T14:09:04,229.943,74.0533,622.172,904.068,1016.91,95.7672,982.64,0,0,17202,16815
2026-01-15T14:09:06,227.222,72.8259,621.122,901.122,1015.25,92.7821,980.767,0,0,17202,16275
2026-01-15T14:09:07,187.113,36.2953,601.699,835.463,975.436,75.6795,942.007,0,0,16740,15015
2026-01-15T14:09:08,136.508,-32.779,560.907,699.83,891.298,89.2637,864.854,0,0,17550,10001
2026-01-15T14:09:09,123.352,-31.1472,591.041,603.326,913.479,114.861,884.836,0,0,12462,8228
2026-01-15T14:09:13,187.782,-29.154,619.238,652.055,916.592,226.783,887.824,0,0,7521,5871
2026-01-15T14:09:14,188.905,-29.5105,618.969,653.661,915.838,228.383,887.032,0,0,7236,5814
2026-01-15T14:09:15,188.749,-29.2143,619.388,653.518,916.361,228.039,887.793,0,0,7236,5814
2026-01-15T14:09:16,187.515,-29.6182,618.956,650.918,915.918,227.022,887.051,0,0,7236,5665
2026-01-15T14:09:17,171.09,-32.0987,616.675,622.196,914.707,208.823,886.073,0,0,8736,5775
2026-01-15T14:09:18,170.606,-31.4673,617.297,621.148,915.857,208.25,887.036,0,0,8814,5985
2026-01-15T14:09:19,170.482,-31.297,617.489,621.063,916.156,207.983,887.426,0,0,8736,6090
2026-01-15T14:09:20,170.409,-31.0459,617.647,620.97,916.575,207.818,887.71,0,0,8814,5824
2026-01-15T14:09:20,170.298,-30.7669,617.935,620.805,917.057,207.605,888.2,0,0,8624,5928
2026-01-15T14:09:21,157.867,-40.1192,598.335,623.126,900.38,180.973,872.015,0,0,8208,6148
2026-01-15T14:09:35,243.535,5.03368,562.463,954.897,925.788,131.611,895.109,0,0,18952,18952
2026-01-15T14:09:36,242.822,4.01343,562.345,952.506,924.928,132.567,894.293,0,0,18849,19032
2026-01-15T14:09:37,242.655,3.48516,561.496,953.292,923.904,131.999,893.35,0,0,18746,19032
