time,x_mm,y_mm,z_mm,u1,v1,u2,v2,r1,r2,a1,a2
2026-01-15T14:05:37,451.993,450.204,566.395,1076.42,1484.71,513.844,939.849,0,0,156,348.5
2026-01-15T14:05:37,328.705,417.205,524.074,999.422,1490.08,92.4529,763.438,0,0,15297.5,138
2026-01-15T14:05:37,261.931,361.278,563.116,885.196,1439.92,38.2746,860.373,0,0,77019,832
2026-01-15T14:05:37,298.247,451.5,564.566,902.602,1526.31,54.3106,848.857,0,0,30760,1521.5
2026-01-15T14:05:37,311.054,547.998,581.523,848.622,1616.18,97.6217,859.526,0,0,5799,137
2026-01-15T14:05:37,295.197,482.03,566.467,844.19,1575.61,129.091,787.625,0,0,9347,788
2026-01-15T14:05:38,287.597,507.615,578.463,812.391,1596.6,108,820,0,0,2310,24
2026-01-15T14:05:39,303.239,482.901,556.708,871.408,1575.79,117.433,766.979,0,0,20894.5,220
2026-01-15T14:05:39,346.451,604.23,600.349,875.008,1572.93,460,242,0,0,2852,24
2026-01-15T14:05:41,311.805,521.05,595.702,862.517,1579.78,103.886,958.683,0,0,15443,229
2026-01-15T14:05:41,293.704,447.038,590.682,863.665,1519.7,106.358,924.268,0,0,33760.5,8903
2026-01-15T14:05:41,282.068,328.035,569.234,902.15,1402.53,127.832,870.254,0,0,85802,25321
2026-01-15T14:05:41,253.729,240.822,637.539,886.906,1246.52,85.3971,1030.77,0,0,97445.5,11720.5
2026-01-15T14:05:41,265.442,107.87,607.881,889.932,1100.06,199.145,935.211,0,0,76528.5,70113
2026-01-15T14:05:41,248.948,47.2709,547.354,894.742,1022.07,196.315,834.154,0,0,72731,29812
2026-01-15T14:05:42,249.374,24.9979,545.532,891.401,986.516,207.187,829.392,0,0,60463.5,30703
2026-01-15T14:05:42,257.208,9.91264,551.375,889.883,962.418,229.344,832.197,0,0,45556,25275
2026-01-15T14:05:42,214.015,-11.2257,599.734,920.433,883.659,82.5701,950.97,0,0,31225.5,18116.5
2026-01-15T14:05:42,225.226,-27.6636,584.102,904.407,880.238,133.756,917.823,0,0,28549,24418.5
2026-01-15T14:05:42,337.56,-68.4298,762.208,852.198,865.325,389.35,1079.45,0,0,11937.5,18890
2026-01-15T14:05:42,183.212,-32.985,606.149,813.503,877.098,106.807,939.447,0,0,5892.5,17634.5
2026-01-15T14:05:42,252.08,-46.2411,591.656,800.208,877.592,280.698,856.713,0,0,5214.5,14105.5
2026-01-15T14:05:42,353.107,-58.5774,764.162,817.606,876.82,458.371,1045,0,0,12446,5497.5
2026-01-15T14:05:43,347.403,-61.5304,782.078,802.242,875.919,455.139,1067.4,0,0,12216.5,8466.5
2026-01-15T14:05:43,356.478,-70.5257,793.068,822.596,866.715,452.699,1088.1,0,0,3248,3689
2026-01-15T14:05:43,195.921,-19.4282,574.774,845.214,898.335,115.834,897.605,0,0,22635,20438
2026-01-15T14:05:43,226.353,-22.9298,557.077,884.966,899.004,162.541,866.819,0,0,15482,8823
2026-01-15T14:05:43,210.691,-13.5509,581.95,859.163,910.182,134.788,905.351,0,0,21061,17039.5
2026-01-15T14:05:43,152.39,-22.0901,566.377,785.77,889.114,65.2869,889.08,0,0,18391,11936
2026-01-15T14:05:43,155.567,-14.2097,588.676,774.444,905.535,72.1191,916.694,0,0,15588.5,9431.5
2026-01-15T14:05:44,207.214,44.0438,589.113,843.278,1001.68,118.12,914.872,0,0,16334,20714.5
2026-01-15T14:05:44,217.799,35.6854,616.292,851.221,983.798,131.67,955.722,0,0,20935.5,6143.5
2026-01-15T14:05:44,187.87,1.40423,588.983,825.942,930.72,101.254,917.354,0,0,20443,20369
2026-01-15T14:05:44,141.221,-9.60868,529.829,780.786,909.444,48.6008,840.013,0,0,10356.5,4564.5
2026-01-15T14:05:44,201.087,18.6645,578.882,882.427,943.664,83.8773,914.265,0,0,8987,19088
2026-01-15T14:05:44,217.768,14.9917,604.576,870.379,948.524,125.598,942.378,0,0,11715,7465
2026-01-15T14:05:44,193.998,-1.60321,583.404,830.762,929.113,114.223,907.021,0,0,13114,10535
2026-01-15T14:05:45,186.169,-11.3785,565.523,825.478,913.901,108.656,882.156,0,0,14769,6634
2026-01-15T14:05:45,193.263,-11.1274,591.302,834.916,910.772,110.13,920.596,0,0,14770.5,7001.5
2026-01-15T14:05:45,209.499,-26.1226,597.197,833.894,896.092,150.692,919.177,0,0,4956.5,1333
2026-01-15T14:05:45,200.416,-19.8377,552.018,849.343,902.161,130.609,861.484,0,0,6612,2365
2026-01-15T14:05:45,202.777,-17.0476,574.659,843.478,906.69,132.169,892.741,0,0,4442.5,2580.5
2026-01-15T14:05:45,205.148,-13.5993,577.17,869.734,903.615,115.148,905.048,0,0,609,139.5
2026-01-15T14:05:46,202.243,-18.4345,567.203,840.366,906.169,136.088,880.304,0,0,3044,344.5
2026-01-15T14:05:46,217.86,-19.8307,592.806,846.736,906.474,159.64,912.502,0,0,7211.5,1101
2026-01-15T14:05:46,578.207,8.22239,865.565,839.266,873.461,896.462,950.131,0,0,1618.5,1741.5
2026-01-15T14:05:46,557.945,-2.39514,861.25,812,862,874.123,940.689,0,0,24,1435.5
2026-01-15T14:05:48,199.842,-35.2321,612.356,807.854,883.979,147.107,937.385,0,0,2071.5,261
2026-01-15T14:05:48,212.742,-23.0803,598.619,843.762,899.21,149.136,923.419,0,0,9209.5,2077
2026-01-15T14:05:48,212.152,-23.8196,592.275,851.31,896.151,143.921,917.018,0,0,10058,2121.5
2026-01-15T14:05:48,209.562,-25.0392,589.332,859.466,890.475,132.715,917.134,0,0,10269.5,1476
2026-01-15T14:05:48,196.072,-26.7252,585.591,870.341,875.219,95.3648,921.797,0,0,6973.5,3904.5
2026-01-15T14:05:48,180.467,-8.05628,532.185,890.382,894.152,58.5498,855.37,0,0,12644,3065
2026-01-15T14:05:48,172.047,-35.5131,516.491,886.681,846.774,58.5792,837.432,0,0,6028,183
2026-01-15T14:05:49,172.634,-46.8374,578.407,882.263,821.007,45,922,0,0,327,24
2026-01-15T14:05:49,166.022,-41.6518,542.199,879.145,830.242,44,874,0,0,679.5,72
2026-01-15T14:05:49,214.639,-37.996,597,918.548,848.316,94.8925,945.432,0,0,1361,804.5
2026-01-15T14:05:49,203.286,-11.8346,583.534,885.712,896.519,95.0193,920.85,0,0,11440,2401.5
2026-01-15T14:05:49,178.583,-7.60339,531.427,877.309,900.09,64.1784,851.277,0,0,16009.5,1631.5
2026-01-15T14:05:49,200.09,-21.1541,583.148,873.743,885.593,100.691,917.677,0,0,9476,2832
2026-01-15T14:05:50,206.845,-25.1029,517.917,863.245,896.159,149.327,809.087,0,0,14066,1437.5
2026-01-15T14:05:50,202.145,-40.0119,517.708,846.541,871.369,153.985,806.755,0,0,5605,1913.5
2026-01-15T14:05:50,214.305,-46.3864,519.278,872.305,859.595,164.701,811.555,0,0,1414.5,1797
2026-01-15T14:05:50,214.305,-46.2632,516.691,872.484,859.763,165.57,807.529,0,0,855,2006
2026-01-15T14:05:50,203.274,-58.3632,514.33,865.899,835.309,148.803,810.9,0,0,362,1281.5
2026-01-15T14:05:50,227.785,-61.1904,596.159,863.281,842.624,177.432,916.912,0,0,73.5,1245
2026-01-15T14:05:51,207.02,-64.2641,521.971,860,828,159.715,817.856,0,0,36,1677.5
2026-01-15T14:05:51,227.097,-19.5096,529.748,916,900,150.137,836.129,0,0,24,286.5
2026-01-15T14:05:51,246.531,-12.4742,601.074,893.904,915.862,183,928,0,0,114.5,24
